date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:19	84320/84320	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/sosis/jawatan/ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/?index.html)
14:06:19	2239/2239	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Apr%202024%2010:59:43%20GMT	https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/js/script.js	C:/sosis/jawatan/jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/js/script.js	(from https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/?index.html)
14:06:20	88145/88145	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2023%20Apr%202024%2010:59:43%20GMT	https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/js/jquery-3.4.1.min.js.download	C:/sosis/jawatan/jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/js/jquery-3.4.1.min.js.download	(from https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/?index.html)
14:06:21	123/123	---MCZ	200	added ('OK')	text/plain	etag:W/%22660b0193-7a%22	https://getbootstrap.com/robots.txt		(from https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/?index.html)
14:06:21	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22660b0193-260c5%22	https://getbootstrap.com/docs/5.0/dist/css/bootstrap.min.css	C:/sosis/jawatan/getbootstrap.com/docs/5.0/dist/css/bootstrap.min.css	(from https://getbootstrap.com/docs/5.0/examples/sticky-footer/)
14:06:22	7650/7650	---M--	200	added ('OK')	image/png	etag:%22660b0193-1de2%22	https://getbootstrap.com/docs/5.0/assets/img/favicons/apple-touch-icon.png	C:/sosis/jawatan/getbootstrap.com/docs/5.0/assets/img/favicons/apple-touch-icon.png	(from https://getbootstrap.com/docs/5.0/examples/sticky-footer/)
14:06:22	1159/1159	---M--	200	added ('OK')	image/png	etag:%22660b0193-487%22	https://getbootstrap.com/docs/5.0/assets/img/favicons/favicon-32x32.png	C:/sosis/jawatan/getbootstrap.com/docs/5.0/assets/img/favicons/favicon-32x32.png	(from https://getbootstrap.com/docs/5.0/examples/sticky-footer/)
14:06:23	529/529	---M--	200	added ('OK')	image/png	etag:%22660b0193-211%22	https://getbootstrap.com/docs/5.0/assets/img/favicons/favicon-16x16.png	C:/sosis/jawatan/getbootstrap.com/docs/5.0/assets/img/favicons/favicon-16x16.png	(from https://getbootstrap.com/docs/5.0/examples/sticky-footer/)
14:06:23	200/200	---MCZ	200	added ('OK')	text/css	etag:W/%22660b0193-c8%22	https://getbootstrap.com/docs/5.0/examples/sticky-footer/sticky-footer.css	C:/sosis/jawatan/getbootstrap.com/docs/5.0/examples/sticky-footer/sticky-footer.css	(from https://getbootstrap.com/docs/5.0/examples/sticky-footer/)
14:06:23	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20May%202024%2006:06:23%20GMT	https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/css/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/sosis/jawatan/jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/css/fonts/bootstrap-iconsfb95.woff2	(from https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/css/bootstrap-icons.css)
14:06:24	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20May%202024%2006:06:23%20GMT	https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/css/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/sosis/jawatan/jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/css/fonts/bootstrap-iconsfb95.woff	(from https://jawatankosong1.gy-i1d.com/02/jobs/MR.D.I.Y/assets/css/bootstrap-icons.css)
